,gene_names
18284,208869_s_at
25540,216248_s_at
14069,204622_x_at
53304,244054_at
13334,203887_s_at
13335,203888_at
26489,217202_s_at
13021,203574_at
50528,241279_at
49352,240103_at
20708,211372_s_at
18283,208868_s_at
20645,211302_s_at
19821,210423_s_at
27844,218559_s_at
25307,216015_s_at
32213,222934_s_at
14068,204621_s_at
15074,205627_at
54302,38037_at
14850,205403_at
25528,216236_s_at
2112,1555167_s_at
13268,203821_at
25308,216016_at
15310,205863_at
14686,205239_at
368,1552772_at
54090,244840_x_at
14067,204620_s_at
10979,201531_at
25282,215990_s_at
26876,217591_at
13155,203708_at
44785,235536_at
12120,202672_s_at
29318,220034_at
13300,203853_s_at
14684,205237_at
4137,1558299_at
14355,204908_s_at
11411,201963_at
32496,223218_s_at
19550,210146_x_at
21232,211924_s_at
8878,1568830_at
11290,201842_s_at
32873,223597_at
14621,205174_s_at
48334,239085_at
31011,221731_x_at
10921,201473_at
11945,202497_x_at
29370,220086_at
14923,205476_at
16720,207275_s_at
14514,205067_at
11912,202464_s_at
20787,211458_s_at
2469,1555643_s_at
35679,226423_at
43345,234095_at
16424,206978_at
52707,243458_at
28089,218805_at
29428,220144_s_at
54556,64064_at
16437,206991_s_at
35143,225886_at
42227,232974_at
26767,217482_at
27930,218646_at
37325,228071_at
57,1552321_a_at
12189,202741_at
47202,237953_at
14935,205488_at
30908,221626_at
10349,200901_s_at
15251,205804_s_at
11446,201998_at
31522,222243_s_at
17720,208296_x_at
21505,212199_at
38621,229367_s_at
20922,211597_s_at
31217,221937_at
3440,1557113_at
6472,1562245_a_at
29208,219924_s_at
30295,221011_s_at
48891,239642_at
14931,205484_at
19235,209829_at
43102,233852_at
15598,206152_at
16837,207394_at
38097,228843_at
45832,236583_at
36741,227486_at
23187,213888_s_at
41186,231932_at
22706,213405_at
32654,223377_x_at
35948,226693_at
56,1552320_a_at
54559,64418_at
44553,235304_at
6755,1562697_at
34644,225387_at
46000,236751_at
45514,236265_at
37131,227877_at
28778,219494_at
5194,1560147_at
22618,213317_at
28816,219532_at
32947,223671_x_at
49111,239862_at
50831,241582_at
